playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478367,2022,Cole Bardreau,NYI,C,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8478367,2022,Cole Bardreau,NYI,C,all,1,397,10,0.2,1,0.45,0.89,0.62,1,0.63,12,0.38,0.07,0.04,0.08,0.03,0.48,0.3,0.07,0.06,0.06,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,1,2,0,2,0,0,1,0,0,0.07,0,0,0,0,0,1.89,1,0.92,0,0.01,0,0,0.08,0.07,0.07,10,0,1,1,8,2,1,1,6,0,0,3203,2,0,0,0,3.24,0.13,0.13,0.12,0.12,4,1,3,8,0,0,0,5,0,0,0.13,0,0,0,0,0,7.14,5,4.46,0.03,0,0,0.16,0.14,0.14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,3.22,3.96,69,42,0,0,0,0,0,0
8478367,2022,Cole Bardreau,NYI,C,5on5,1,397,10,0.2,1,0.71,0.89,0.64,1,0.64,12,0.38,0.07,0.04,0.08,0.03,0.48,0.3,0.07,0.06,0.06,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,1,2,0,2,0,0,1,0,0,0.07,0,0,0,0,0,1.89,1,0.92,0,0.01,0,0,0.08,0.07,0.07,10,0,1,1,8,2,1,1,6,0,0,2641,2,0,0,0,3.24,0.13,0.13,0.12,0.12,4,1,3,8,0,0,0,5,0,0,0.13,0,0,0,0,0,7.14,5,4.46,0.03,0,0,0.16,0.14,0.14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,2.26,0.94,56,32,0,0,0,0,0,0
8478367,2022,Cole Bardreau,NYI,C,4on5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8478367,2022,Cole Bardreau,NYI,C,5on4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8479442,2022,Troy Stecher,CGY,D,other,78,1393,33,-2.6,0.44,0.38,0.23,0.37,0.25,0.32,129,1.59,0.29,0.09,0.2,0.04,0.63,0.75,0.27,0.29,0.27,0,0,2,0,1,3,0,0,0,0,1,0,0,1,2,2,2,4,0,0,0,2,0,2,0,0,0.29,0,0,0,0,3,2,2,0,0.02,0,0,0.31,0.31,0.29,33,3,9,2,19,2,7,11,13,0,0,4390,4,0,0,5,11.55,4.64,4.17,4.64,4.17,13,3,2,18,5,1,0,3,5,8,0.1,0.69,3.86,0,0,5,18,16,16,0.15,0.22,0.73,4.06,4.06,4.03,34.34,6.02,5.24,6.02,5.24,30,18,12,60,1,6,1,20,21,7,0.98,2.74,2.3,0,0,1,60,48,48,0.97,1.77,1.77,5.21,5.21,4.66,10.3,16.88,77,132,0,0,0,0,0,0
8479442,2022,Troy Stecher,CGY,D,all,78,76940,1739,6.05,0.36,0.47,0.39,0.49,0.38,0.49,366,75.33,3.52,4.34,19.26,2.44,43.64,32.78,3.47,3.51,3.46,7,4,82,24,64,170,13,2,7,0,20,3,41,33,80,104,18,42,0,69,21,35,94,11,1,2.08,1.23,0.2,1,1,0,167.24,106,105.51,23,0.89,1.21,0.24,4.17,4.17,4.12,1739,122,252,224,1141,219,308,225,987,0,0,207883,42,28,11,91,498.22,46.46,44.57,46.47,44.61,496,191,241,928,39,46,6,493,147,47,14.33,17.54,14.57,12,14,13,920.82,687,686.02,6.81,8.12,8.86,44.41,44.44,43.81,824.18,82.86,78.39,83.38,78.86,821,317,337,1475,70,75,10,807,251,80,24.8,30.79,27.28,24,25,21,1491.04,1138,1145.85,13.6,17.76,17.76,78.7,79.13,76.55,178.69,198.08,3188,3289,0,0,0,0,0,0
8479442,2022,Troy Stecher,CGY,D,5on5,78,65087,1451,6.05,0.42,0.48,0.45,0.49,0.44,0.48,355,69.76,2.88,4.08,18.57,2.3,41.82,29.35,2.85,2.87,2.84,7,4,75,24,63,162,13,2,6,0,19,3,41,28,73,97,14,34,0,58,16,30,91,8,0,2.04,0.84,0,1,1,0,159.24,99,98.51,21,0.82,0.98,0.24,3.45,3.45,3.42,1451,111,138,211,991,205,236,173,837,0,0,162159,34,24,9,63,468.21,39.27,37.91,39.28,37.94,462,185,236,883,31,44,6,479,135,33,13.95,16.09,9.23,10,13,8,875.82,647,646.02,6.41,7.66,7.66,38.02,38.04,37.47,606.3,53.67,51.59,54.2,52.06,611,222,258,1091,43,48,6,609,173,51,18.61,21.12,13.96,18,15,10,1107.04,833,840.85,8.41,10.48,10.48,51.6,52.03,50.93,114.98,125.45,2372,2500,3.94,0.78,83,17,60,13
8479442,2022,Troy Stecher,CGY,D,4on5,78,10099,229,0.6,0.09,0.13,0.07,0.12,0.08,0.14,203,3.19,0.15,0.13,0.34,0.08,0.83,2.48,0.15,0.15,0.15,0,0,4,0,0,4,0,0,1,0,0,0,0,3,4,4,2,4,0,11,5,3,3,1,0,0.04,0.1,0,0,0,0,4,4,4,2,0.03,0.24,0,0.18,0.18,0.18,229,3,105,10,111,4,62,40,123,0,0,14906,4,0,0,0,16.93,2.27,2.22,2.27,2.22,19,3,3,25,2,1,0,10,7,5,0.22,0.77,1.28,1,1,0,25,22,22,0.22,0.24,0.47,2.02,2.02,1.99,179.66,22.88,21.28,22.88,21.28,175,77,66,318,25,21,3,174,56,22,5.08,6.77,11.03,6,9,10,318,252,252,4.18,5.51,5.51,21.54,21.54,20.63,4.74,33.1,64,461,0.48,0.04,6,1,6,1
8479442,2022,Troy Stecher,CGY,D,5on4,78,361,26,3.63,0,0.83,0,0.85,0,0.82,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,1,20,8,3,1,14,0,0,8157,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0.1,0.1,0.1,0.1,3,0,0,3,0,0,0,3,0,0,0.1,0,0,0,0,0,3,3,3,0.02,0,0,0.12,0.12,0.12,13.19,2.71,186,33,0,0,0,0,0,0
